date,system_id,condition,cycle,neg_exit_count,neg_re_ratio,path_tortuosity,ifi_cv,mean_handling_time_s,n_distinct_flowers,n_exit_v3,n_return_v3,re_ratio_v3,median_trip_s,mean_trip_s,n_matched,n_visits,mean_dbm,max_dbm,median_dbm,mean_mbps,max_mbps
2026-05-11,939,ON,3,-28.0,-1.2142857142857142,2.1035242237886007,1.6742916382289745,5.047073714285692,4,28,34,1.2142857142857142,4399.0,4754.259259259259,27,7,,,,,
2026-05-12,939,ON,3,-30.0,-1.9333333333333333,2.1872341959149284,1.3254721018658155,7.230398857142856,4,30,58,1.9333333333333333,259.5,610.0,30,35,,,,,
2026-05-13,939,ON,3,-30.0,-2.3,2.257159742648323,1.2599726585752467,4.592512074074045,6,30,69,2.3,304.0,515.3333333333334,30,27,,,,,
2026-05-14,939,OFF,3,-29.0,-1.103448275862069,2.5134958675252808,1.2901243022277553,3.9099029591836674,6,29,32,1.103448275862069,3589.0,3118.896551724138,29,49,,,,,
2026-05-15,939,OFF,3,-38.0,-1.105263157894737,2.3487754876048506,1.202493500236752,4.2223349687500455,5,38,42,1.105263157894737,2603.0,2475.3142857142857,35,64,,,,,
2026-05-16,939,OFF,3,-33.0,-1.2727272727272727,2.356509812032101,2.207835407911428,4.051449439393953,4,33,42,1.2727272727272727,489.0,971.6129032258065,31,66,,,,,
2026-05-17,939,ON,4,-37.0,-0.8918918918918919,2.2954965549673676,1.1320327915903716,3.377309491803302,5,37,33,0.8918918918918919,1060.5,2055.3214285714284,28,61,,,,,
2026-05-18,939,ON,4,-27.0,-2.3333333333333335,2.1952241711168035,1.401129580614331,6.536627281249999,6,27,63,2.3333333333333335,192.5,251.23076923076923,26,32,,,,,
2026-05-19,939,ON,4,-43.0,-2.0697674418604652,2.1133514278210686,2.3563397839249234,8.511757608695659,5,43,89,2.0697674418604652,347.5,558.3095238095239,42,23,,,,,
2026-05-20,939,OFF,4,-21.0,-2.0,2.071302794853063,1.3096705819223142,6.720965499999968,2,21,42,2.0,544.5,1089.25,20,10,,,,,
2026-05-21,939,OFF,4,-31.0,-2.096774193548387,2.247327809529736,1.475906933472512,4.610099599999973,3,31,65,2.096774193548387,772.0,1088.4516129032259,31,10,,,,,
2026-05-22,939,OFF,4,-8.0,-3.125,2.326715505986552,1.031262938710447,1.5611168749998583,5,8,25,3.125,1246.0,2026.875,8,8,,,,,
2026-05-23,939,ON,5,-6.0,-4.0,2.2625969707200397,0.9826308344602647,2.159601142857109,2,6,24,4.0,814.0,966.2,5,7,,,,,
2026-05-24,939,ON,5,-18.0,-1.7222222222222223,2.4263241378744116,2.19864191307074,5.66269840000001,3,18,31,1.7222222222222223,661.0,1053.9411764705883,17,10,,,,,
2026-05-25,939,ON,5,-13.0,-2.3846153846153846,2.360248027642463,1.2592076028416368,1.5082832499999523,3,13,31,2.3846153846153846,646.0,1623.6153846153845,13,4,,,,,
2026-05-27,939,OFF,5,-9.0,-3.0,2.2928028734828714,1.1333259467848693,1.784950499999977,4,9,27,3.0,598.5,1656.25,8,6,,,,,
2026-05-28,939,OFF,5,-5.0,-1.0,2.462570965281034,0.605955816314866,2.296675333333343,2,5,5,1.0,4821.5,5369.25,4,3,,,,,
