feature,feature_label,threshold,system_id,uid,date,feature_value,dist_to_thr,v3_classification,n_samples
toward_cos,toward cos > 0.30,0.3,900,2209462,2026-05-06,0.3019,0.0019,False,165
toward_cos,toward cos > 0.30,0.3,900,2321691,2026-05-09,0.3019,0.0019,False,142
toward_cos,toward cos > 0.30,0.3,939,2188625,2026-05-05,0.3003,0.0003,False,184
toward_cos,toward cos > 0.30,0.3,939,1942470,2026-04-30,0.2996,0.0004,False,195
toward_cos,toward cos > 0.30,0.3,939,1924023,2026-04-30,0.2991,0.0009,False,157
toward_cos,toward cos > 0.30,0.3,939,2488004,2026-05-12,0.2991,0.0009,False,138
toward_cos,toward cos > 0.30,0.3,939,2484013,2026-05-12,0.3015,0.0015,False,228
toward_cos,toward cos > 0.30,0.3,939,2188787,2026-05-05,0.3016,0.0016,False,113
toward_cos,toward cos > 0.30,0.3,939,2432962,2026-05-11,0.2984,0.0016,False,153
toward_cos,toward cos > 0.30,0.3,939,1466792,2026-04-21,0.2971,0.0029,False,670
toward_cos,toward cos > 0.30,0.3,939,1988916,2026-05-01,0.297,0.003,False,312
toward_cos,toward cos > 0.30,0.3,939,2137387,2026-05-04,0.2965,0.0035,False,336
toward_cos,toward cos > 0.30,0.3,939,2314139,2026-05-08,0.3037,0.0037,False,203
toward_cos,toward cos > 0.30,0.3,939,2393571,2026-05-10,0.3043,0.0043,False,131
toward_cos,toward cos > 0.30,0.3,939,1473974,2026-04-21,0.2955,0.0045,False,218
toward_cos,toward cos > 0.30,0.3,939,1728044,2026-04-27,0.2954,0.0046,False,145
toward_cos,toward cos > 0.30,0.3,939,1993313,2026-05-01,0.3047,0.0047,False,144
toward_cos,toward cos > 0.30,0.3,939,2205813,2026-05-05,0.3047,0.0047,True,193
toward_cos,toward cos > 0.30,0.3,939,1792178,2026-04-28,0.2949,0.0051,False,158
toward_cos,toward cos > 0.30,0.3,939,2433960,2026-05-11,0.3052,0.0052,False,133
toward_cos,toward cos > 0.30,0.3,939,2442255,2026-05-11,0.2948,0.0052,False,449
toward_cos,toward cos > 0.30,0.3,939,2389468,2026-05-10,0.2945,0.0055,False,113
