date,system_id,uid,ts,n_samples,n_spike_frames,hive_exit_v1,hive_return_v1,hive_exit_v3,hive_return_v3,initial_speed_min,start_dist,outward_cos,terminal_speed_min,end_dist,toward_cos,tortuosity
2026-05-14,939,2556307,2026-05-14 10:44:31,123,3,False,False,False,False,0.2621822822961192,0.25592266472185177,-0.93147613320551,0.25084531126571874,0.5089624479454649,0.7517989984101747,3.8068774308680524
2026-05-14,939,2556308,2026-05-14 10:44:34,172,30,False,False,False,False,0.8690864720965629,1.0068335107377255,0.35635134003691554,2.9489513142816963,4.718483059706281,-0.9813933298407612,1.500739808986913
2026-05-14,939,2556315,2026-05-14 10:44:56,158,6,False,False,False,False,0.48906403207761373,0.9537493406413915,-0.7453295303836959,0.1747116055740111,0.5761264759913834,0.43888091794108824,6.1220542374971005
2026-05-14,939,2556316,2026-05-14 10:44:58,308,11,False,False,False,False,0.5682093852841525,0.8600696791706278,0.21918800814206252,0.2792043771594533,1.4617583165284198,0.4575728326688693,7.84265999228335
2026-05-14,939,2556320,2026-05-14 10:45:41,154,1,False,False,False,False,0.5700213227590597,1.6602935630054505,-0.8705611938258809,0.22982202799123005,0.552926647045519,-0.9444079362388487,1.2655150664320887
2026-05-14,939,2556322,2026-05-14 10:45:44,397,1,False,False,False,False,0.7814597422797939,1.1323466150715513,0.1643350116688368,0.27806666466872165,1.8951387212549904,-0.5602914544715369,3.6972614011902776
2026-05-14,939,2556323,2026-05-14 10:45:49,643,0,True,False,True,False,0.030878034033269837,0.1398936362139346,-0.5521813013402411,0.11159935903041403,0.3215208622846268,-0.9965000813658323,4.915940819622337
2026-05-14,939,2556325,2026-05-14 10:45:51,139,0,False,False,False,False,0.4878424771634859,1.0417577745375044,0.6926531817962776,0.3545366770871377,2.833215334520834,-0.9887102989254991,1.1904982182867176
2026-05-14,939,2556326,2026-05-14 10:45:56,118,0,False,False,False,False,0.23927958076708855,0.15569870864759214,-0.5501663999089316,0.28363745080648695,0.4868752158664478,-0.91259596526221,1.5197731320305297
2026-05-14,939,2556327,2026-05-14 10:45:57,130,0,False,False,False,False,0.14929634741681105,1.0413405747670217,0.8581617064091664,0.5395403460354014,1.497170339180215,-0.7690176560986569,1.841853880635031
2026-05-14,939,2556329,2026-05-14 10:45:58,162,0,False,False,False,False,0.42346100971871603,0.4403713222595979,-0.8175012914756389,0.21525236496958763,0.1517886088776098,-0.3613827309483249,2.9939278690267224
2026-05-14,939,2556330,2026-05-14 10:46:00,208,1,False,False,False,False,0.7906629406567587,0.26809343328606744,0.40525056107745483,0.1522350059119092,1.0417691934080215,-0.8302717650562912,2.7374047503000534
2026-05-14,939,2556331,2026-05-14 10:46:03,119,0,False,False,False,False,0.3892516939153897,0.6898497571015011,-0.3254963273638757,0.24768250135001785,1.1717789440052249,-0.8419659287414282,1.9243987589933575
2026-05-14,939,2556332,2026-05-14 10:46:04,115,0,False,False,False,False,0.5006324140774288,0.9267923820066473,-0.9309390435360945,0.12802415377576398,1.1075943892418378,-0.9726603339966943,2.4467498669221333
2026-05-14,939,2556336,2026-05-14 10:46:11,123,0,False,False,False,False,0.35980234463938343,1.1209613863528036,-0.989877548639231,0.15766525972768802,0.8267053485220717,0.32713534357167023,1.3723005498129073
2026-05-14,939,2556339,2026-05-14 10:46:28,162,0,False,False,False,False,0.7767077400959909,2.1964897068451186,-0.9194291581375774,0.22615737579172823,0.2970504696730844,-0.3463338004948176,1.465065479924081
2026-05-14,939,2556340,2026-05-14 10:46:30,112,3,False,False,False,False,0.27619273994803145,0.2082055168307933,-0.8409330730384591,1.0460084677119215,1.6483456252646167,-0.9967460384246504,1.3927061023468055
2026-05-14,939,2556356,2026-05-14 10:46:44,255,0,False,False,False,False,0.6575534356826105,0.9784078013408086,-0.4169137045898018,0.31282074559562034,0.581483967588961,-0.950289530970491,3.0608179816000356
2026-05-14,939,2556372,2026-05-14 10:48:11,193,1,False,False,False,False,1.0868312787990677,1.6057386088016474,0.40124103177137654,0.40634672562357455,1.2311747902609118,-0.690513744270306,1.7448273542004806
2026-05-14,939,2556384,2026-05-14 10:49:28,560,0,False,True,False,False,0.7210518254258859,0.6874339067002087,-0.9780741262327837,0.04052308231118527,0.09496119654890627,-0.834631304411597,2.6042178120964294
2026-05-14,939,2556386,2026-05-14 10:49:37,385,1,True,False,True,False,0.029780257705400402,0.05117237107859626,0.5906576218922295,0.3864199213614634,0.4940760185275136,-0.6057471758745228,4.212367150218959
